Decade,TotalService,TotalManufacturing,TotalAgriculture,PercPopGrowthImm
1790,,,,11.9
1800,,,,13.5
1810,,,,13.7
1820,,,,7.1
1830,,,,16.9
1840,1268000,822000,3570000,27
1850,2018000,1712000,4520000,32.3
1860,3004000,2226000,5880000,26.5
1870,2710000,3430000,6790000,24.2
1880,4000000,4470000,8920000,30.9
1890,7020000,6340000,9960000,32.6
1900,9193000,8197000,11680000,35.3
1910,14361000,11349000,11770000,18.1
1920,17217000,13603000,10790000,20.5
1930,22509000,12557000,8441000,14
1940,26509000,13915000,7589000,9.6
1950,32245000,19880000,6402000,10.4
1960,39788000,20710000,4531000,16.1
1970,51239000,23985000,3118000,37
1980,65996000,26633000,3275000,27.9
1990,84959000,26217000,3475000,42.9
2000,103217000,27280000,2391836.108,41.3
2010,109039000,19315000,2228103.373,38.5
