Year,Top10IncomeShare,Top10IncomeShare,Top5IncomeShare,Top1IncomeShare,Top05IncomeShare,CO2EmmPerCap,PercGrowtProd,PercGrowthWage
1800,,,,,,0.042136,,
1801,,,,,,0.043749023,,
1802,,,,,,0.046463702,,
1803,,,,,,0.04675338,,
1804,,,,,,0.051547863,,
1805,,,,,,0.05170035,,
1806,,,,,,0.049647022,,
1807,,,,,,0.055148073,,
1808,,,,,,0.056223534,,
1809,,,,,,0.05672419,,
1810,,,,,,0.057195846,,
1811,,,,,,0.05957973,,
1812,,,,,,0.0625836,,
1813,,,,,,0.06519789,,
1814,,,,,,0.06802918,,
1815,,,,,,0.070616506,,
1816,,,,,,0.07547438,,
1817,,,,,,0.079147205,,
1818,,,,,,0.08329477,,
1819,,,,,,0.0788342,,
1820,,,,,,0.07940742,,
1821,,,,,,0.08064995,,
1822,,,,,,0.08181233,,
1823,,,,,,0.08290245,,
1824,,,,,,0.09074809,,
1825,,,,,,0.09872902,,
1826,,,,,,0.111148365,,
1827,,,,,,0.11888613,,
1828,,,,,,0.12727666,,
1829,,,,,,0.13939415,,
1830,,,,,,0.15767905,,
1831,,,,,,0.16626401,,
1832,,,,,,0.21589011,,
1833,,,,,,0.2451494,,
1834,,,,,,0.22857675,,
1835,,,,,,0.28379282,,
1836,,,,,,0.30255765,,
1837,,,,,,0.33012334,,
1838,,,,,,0.3045117,,
1839,,,,,,0.3247494,,
1840,,,,,,0.3359056,,
1841,,,,,,0.34518078,,
1842,,,,,,0.37302932,,
1843,,,,,,0.40623948,,
1844,,,,,,0.47249264,,
1845,,,,,,0.5519618,,
1846,,,,,,0.6075555,,
1847,,,,,,0.6989572,,
1848,,,,,,0.7553745,,
1849,,,,,,0.79568434,,
1850,,,,,,0.83870095,,
1851,,,,,,1.0133029,,
1852,,,,,,1.0699053,,
1853,,,,,,1.1693825,,
1854,,,,,,1.2480785,,
1855,,,,,,1.394424,,
1856,,,,,,1.4202958,,
1857,,,,,,1.4139436,,
1858,,,,,,1.3925428,,
1859,,,,,,1.4731518,,
1860,,,,,,1.5011375,,
1861,,,,,,1.4090402,,
1862,,,,,,1.4285618,,
1863,,,,,,1.6126716,,
1864,,,,,,1.6866376,,
1865,,,,,,1.6529324,,
1866,,,,,,1.6266301,,
1867,,,,,,1.9555545,,
1868,,,,,,2.1599026,,
1869,,,,,,2.401964,,
1870,,,,,,2.4715502,,
1871,,,,,,2.524375,,
1872,,,,,,3.0265274,,
1873,,,,,,3.2694678,,
1874,,,,,,3.0782638,,
1875,,,,,,3.0432105,,
1876,,,,,,2.912211,,
1877,,,,,,3.1561265,,
1878,,,,,,3.0182126,,
1879,,,,,,3.5994267,,
1880,,,,,,3.986088,,
1881,,,,,,4.1242743,,
1882,,,,,,4.517172,,
1883,,,,,,4.764769,,
1884,,,,,,4.911519,,
1885,,,,,,4.885538,,
1886,,,,,,5.0466657,,
1887,,,,,,5.2776074,,
1888,,,,,,6.2780514,,
1889,,,,,,5.5148797,,
1890,,,,,,6.468085,,
1891,,,,,,6.7461,,
1892,,,,,,6.9749255,,
1893,,,,,,6.9034314,,
1894,,,,,,6.3442984,,
1895,,,,,,7.033352,,
1896,,,,,,6.918819,,
1897,,,,,,7.067037,,
1898,,,,,,7.563029,,
1899,,,,,,8.516529,,
1900,,,,,,8.856599,,
1901,,,,,,9.463163,,
1902,,,,,,9.83929,,
1903,,,,,,11.294751,,
1904,,,,,,10.9292755,,
1905,,,,,,11.993248,,
1906,,,,,,12.352037,,
1907,,,,,,14.090626,,
1908,,,,,,12.090888,,
1909,,,,,,13.149926,,
1910,0.405785062,0.098866911,0.129218151,0.1777,0.0892,14.104886,,
1911,0.407954425,0.099395462,0.129908963,0.17865,0.0877,13.743023,,
1912,0.411322647,0.100216108,0.130981539,0.180125,0.08685,14.455241,,
1913,0.410123788,0.099924014,0.130599775,0.1796,0.0862,15.308516,,
1914,0.414690868,0.101036753,0.132054115,0.1816,0.086,13.795953,,
1915,0.401446336,0.097809808,0.127836528,0.1758,0.0922,14.121179,,
1916,0.440951578,0.107435006,0.140416573,0.1931,0.1051,15.469336,,
1917,0.4051,0.0987,0.129,0.1774,0.084,16.785204,,
1918,0.4011,0.1062,0.1353,0.1596,0.0672,17.309261,,
1919,0.4032,0.1015,0.1376,0.1641,0.0663,14.442194,,
1920,0.3901,0.1069,0.1349,0.1483,0.0536,16.730282,,
1921,0.4318,0.1238,0.1516,0.1564,0.056,13.506341,,
1922,0.4372,0.1178,0.1488,0.1706,0.0664,13.424879,,
1923,0.4146,0.1168,0.1414,0.1564,0.0591,17.478342,,
1924,0.4441,0.123,0.1469,0.1742,0.0679,15.423299,,
1925,0.4635,0.1134,0.1477,0.2024,0.0852,15.735723,,
1926,0.4571,0.111,0.147,0.1991,0.0846,16.812035,,
1927,0.4667,0.1098,0.1466,0.2103,0.0925,16.192951,,
1928,0.4929,0.1073,0.1462,0.2394,0.1154,15.685378,,
1929,0.4671,0.1023,0.1413,0.2235,0.1091,16.603048,,
1930,0.4387,0.1181,0.1484,0.1722,0.0707,14.58597,,
1931,0.4454,0.1331,0.1573,0.155,0.0589,12.289558,,
1932,0.4637,0.137,0.1711,0.1556,0.0597,10.321664,,
1933,0.456,0.1241,0.1673,0.1646,0.0661,10.991698,,
1934,0.4578,0.1207,0.1731,0.164,0.0613,11.621933,,
1935,0.4449,0.1221,0.156,0.1668,0.0639,11.991493,,
1936,0.4659,0.1195,0.1535,0.1929,0.0757,13.672,,
1937,0.4423,0.1196,0.1512,0.1715,0.0649,14.204154,,
1938,0.4407,0.1273,0.1559,0.1575,0.0588,11.926593,,
1939,0.4552,0.1324,0.161,0.1618,0.0587,13.037762,,
1940,0.4529,0.1307,0.1574,0.1648,0.0601,14.487894,,
1941,0.4193,0.1194,0.142,0.1579,0.0581,15.615902,,
1942,0.3613,0.1033,0.1237,0.1343,0.0481,16.58958,,
1943,0.3369,0.0961,0.1177,0.1231,0.0426,16.911407,,
1944,0.3251,0.0974,0.1149,0.1128,0.0376,17.948437,,
1945,0.3442,0.0963,0.1227,0.1252,0.0416,17.084375,,
1946,0.367,0.0993,0.1349,0.1328,0.0439,16.121332,,
1947,0.3435,0.0967,0.1272,0.1196,0.0392,17.508738,,
1948,0.3501,0.0995,0.1282,0.1224,0.0406,17.940481,0,0
1949,0.3475,0.1024,0.1278,0.1173,0.0383,14.822593,0.063,0.015
1950,0.3556,0.1003,0.1271,0.1282,0.0439,16.48146,0.105,0.093
1951,0.3422,0.1002,0.1241,0.1179,0.0389,16.734978,0.118,0.124
1952,0.3321,0.1014,0.1228,0.1079,0.0343,16.066198,0.15,0.156
1953,0.3231,0.103,0.1211,0.099,0.0306,16.212685,0.208,0.195
1954,0.3364,0.1034,0.1253,0.1077,0.0349,15.213387,0.235,0.216
1955,0.3394,0.1034,0.1254,0.1106,0.0371,16.417036,0.287,0.265
1956,0.3346,0.1033,0.1246,0.1067,0.0349,16.940592,0.339,0.267
1957,0.3299,0.1039,0.1244,0.1016,0.0318,16.535189,0.371,0.301
1958,0.3356,0.1063,0.1272,0.1021,0.0322,15.768463,0.382,0.328
1959,0.34,0.1061,0.1274,0.1065,0.0345,15.986401,0.426,0.376
1960,0.3348,0.1091,0.1254,0.1003,0.0325,16.07168,0.455,0.4
1961,0.3425,0.1075,0.1286,0.1064,0.0365,15.733178,0.48,0.444
1962,0.337,0.1089,0.1286,0.0995,0.0319,16.033813,0.525,0.498
1963,0.3378,0.1094,0.1292,0.0992,0.0315,16.470348,0.55,0.55
1964,0.3442,0.1092,0.1302,0.1048,0.0337,16.929379,0.585,0.6
1965,0.3478,0.109,0.1299,0.1089,0.0366,17.37532,0.625,0.649
1966,0.3367,0.1075,0.1274,0.1018,0.0339,18.013338,0.649,0.7
1967,0.3444,0.1074,0.1296,0.1074,0.0368,18.462694,0.669,0.721
1968,0.3485,0.107,0.1294,0.1121,0.0402,18.91976,0.707,0.772
1969,0.3393,0.1085,0.1273,0.1035,0.0369,19.65487,0.747,0.779
1970,0.3263,0.1097,0.1263,0.0903,0.0278,20.884323,0.766,0.804
1971,0.3334,0.1108,0.1286,0.094,0.0299,20.745802,0.82,0.871
1972,0.3359,0.1107,0.1288,0.0964,0.0313,21.485434,0.913,0.92
1973,0.3333,0.1112,0.1305,0.0916,0.0276,22.257154,0.913,0.967
1974,0.3331,0.1119,0.13,0.0912,0.0273,21.28936,0.87,0.936
1975,0.3343,0.1145,0.1311,0.0887,0.0256,20.437992,0.869,0.979
1976,0.3341,0.1144,0.1311,0.0886,0.0259,21.468273,0.897,1.034
1977,0.3358,0.1146,0.1309,0.0903,0.0271,21.902563,0.932,1.058
1978,0.3349,0.1145,0.1309,0.0895,0.0265,21.924551,0.96,1.078
1979,0.3421,0.1128,0.1297,0.0996,0.0344,22.010122,0.934,1.081
1980,0.3463,0.1146,0.1315,0.1002,0.0341,20.92102,0.886,1.065
1981,0.3454,0.115,0.1302,0.1002,0.0357,20.183939,0.876,1.11
1982,0.3533,0.115,0.1303,0.108,0.0418,18.959597,0.878,1.079
1983,0.3638,0.1153,0.1329,0.1156,0.0462,18.69184,0.883,1.141
1984,0.3674,0.1145,0.133,0.1199,0.0498,19.47947,0.87,1.197
1985,0.3756,0.1144,0.1345,0.1267,0.0532,19.251644,0.864,1.234
1986,0.4063,0.1114,0.1357,0.1592,0.074,19.11719,0.873,1.28
1987,0.3825,0.1171,0.1388,0.1266,0.049,19.605083,0.846,1.291
1988,0.4063,0.1134,0.138,0.1549,0.068,20.334122,0.839,1.318
1989,0.4008,0.1153,0.1406,0.1449,0.06,20.474888,0.837,1.337
1990,0.3998,0.1157,0.1408,0.1433,0.0582,20.21111,0.822,1.37
1991,0.3955,0.1183,0.1436,0.1336,0.0512,19.740822,0.821,1.389
1992,0.4082,0.1176,0.1439,0.1467,0.0603,19.931076,0.831,1.476
1993,0.4068,0.1185,0.1459,0.1424,0.0573,20.076859,0.834,1.484
1994,0.4078,0.1189,0.1466,0.1423,0.057,20.206358,0.838,1.508
1995,0.4211,0.1189,0.1499,0.1523,0.0621,20.227972,0.827,1.509
1996,0.4348,0.1172,0.1507,0.1669,0.0724,20.722765,0.828,1.57
1997,0.4464,0.115,0.1512,0.1802,0.0818,20.800028,0.848,1.606
1998,0.4539,0.1129,0.1501,0.1909,0.09,20.763779,0.892,1.659
1999,0.4647,0.1125,0.1518,0.2004,0.0962,20.81858,0.92,1.728
2000,0.4761,0.11,0.1509,0.2152,0.1088,21.351597,0.93,1.792
2001,0.4482,0.1147,0.1513,0.1822,0.0837,20.781439,0.957,1.835
2002,0.4382,0.1175,0.1521,0.1686,0.0734,20.712757,0.996,1.914
2003,0.4453,0.1177,0.1523,0.1753,0.0787,20.731209,1.018,2.009
2004,0.464,0.1145,0.152,0.1975,0.0946,20.877535,1.011,2.091
2005,0.4833,0.1117,0.1524,0.2192,0.1098,20.736685,1.003,2.145
2006,0.4932,0.1124,0.1526,0.2282,0.1159,20.26138,1.004,2.165
2007,0.4974,0.1107,0.1517,0.235,0.1228,20.308895,1.019,2.188
2008,0.4823,0.1171,0.1557,0.2095,0.104,19.395718,1.021,2.194
2009,0.465,0.1239,0.1599,0.1812,0.083,17.79321,1.101,2.26
2010,0.479,0.1218,0.1595,0.1977,0.0952,18.259064,1.121,2.354
